candidate_id,myneta_url,candidate,constituency_id,constituency,age,party_code,criminal_cases_flag,education_level,movable_assets,movable_assets_rs,movable_assets_img,immovable_assets,immovable_assets_rs,immovable_assets_img,total_assets,total_assets_rs,total_assets_img,liabilities,liabilities_rs,liabilities_img,pan_given,serious_ipc_counts
1540,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1540,T. Kaviyarasu,3,ROYAPURAM,46,IND,No,Graduate Professional,,,1,0 ~,0,,,,1,0 ~,0,,Y,0
1554,http://myneta.info/TamilNadu2026/candidate.php?candidate_id=1554,T. Rajesh,3,ROYAPURAM,42,IND,No,8th Pass,,,1,0 ~,0,,,,1,0 ~,0,,Y,0
1550,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1550,V. Bhagath Singh,3,ROYAPURAM,37,IND,No,Graduate Professional,,,1,0 ~,0,,,,1,0 ~,0,,Y,0
1313,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1313,Aassan Maulaana J.M.H,4,VELACHERY,42,INC,Yes 4,Post Graduate,,,1,"13,45,49,600 ~ 13 Crore+",134549600,,,,1,"24,28,591 ~ 24 Lacs+",2428591,,Y,0
4014,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=4014,Ahammed Nazeer Khan,4,VELACHERY,40,IND,No,10th Pass,,,1,0 ~,0,,,,1,"50,000 ~ 50 Thou+",50000,,Y,0
4012,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=4012,Ashok. M,4,VELACHERY,46,IND,No,8th Pass,,,1,0 ~,0,,,,1,0 ~,0,,Y,0
214,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=214,Ashok. M.K,4,VELACHERY,54,AIADMK,Yes 5,Post Graduate,,,1,"9,53,32,575 ~ 9 Crore+",95332575,,,,1,"5,27,83,369 ~ 5 Crore+",52783369,,Y,1
4013,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=4013,Azarutheen. M,4,VELACHERY,37,IND,No,Graduate Professional,,,1,"21,00,000 ~ 21 Lacs+",2100000,,,,1,"4,00,000 ~ 4 Lacs+",400000,,Y,0
4021,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=4021,Bhaskar. G,4,VELACHERY,47,IND,No,8th Pass,,,1,0 ~,0,,,,1,0 ~,0,,Y,0
4020,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=4020,Deepak Ravi,4,VELACHERY,31,IND,No,Graduate,,,1,0 ~,0,,,,1,0 ~,0,,Y,0
4019,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=4019,Diwakar. R,4,VELACHERY,28,IND,No,Graduate,,,1,0 ~,0,,,,1,0 ~,0,,Y,0
4028,http://myneta.info/TamilNadu2026/candidate.php?candidate_id=4028,Janagaraj Ravi Gunaseelan,4,VELACHERY,59,IND,No,Graduate Professional,,,1,"1,50,00,000 ~ 1 Crore+",15000000,,,,1,"29,00,000 ~ 29 Lacs+",2900000,,Y,0
4016,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=4016,Kala Pethachi,4,VELACHERY,61,IND,Yes 1,Graduate,,,1,"43,10,000 ~ 43 Lacs+",4310000,,,,1,"4,00,000 ~ 4 Lacs+",400000,,Y,1
4009,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=4009,Kanchana. R,4,VELACHERY,48,Tamizhaga Murpokku Makkal Katchi,No,Post Graduate,,,1,0 ~,0,,,,1,"40,49,000 ~ 40 Lacs+",4049000,,Y,0
4015,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=4015,Kannan. K,4,VELACHERY,53,IND,No,Graduate Professional,,,1,0 ~,0,,,,1,0 ~,0,,Y,0
215,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=215,Keerthana. M,4,VELACHERY,33,Naam Tamilar Katchi,No,Post Graduate,,,1,"1,50,00,000 ~ 1 Crore+",15000000,,,,1,"41,65,406 ~ 41 Lacs+",4165406,,Y,0
865,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=865,Kumar. R,4,VELACHERY,60,Tamilaga Vettri Kazhagam,No,Graduate Professional,,,1,"1,01,95,62,748 ~ 101 Crore+",1019562748,,,,1,"1,59,49,204 ~ 1 Crore+",15949204,,Y,0
867,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=867,Mani. M,4,VELACHERY,49,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,No,Graduate,,,1,0 ~,0,,,,1,0 ~,0,,Y,0
868,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=868,Mohamed Yaseen. I,4,VELACHERY,30,Thakkam Katchi,No,Graduate,,,1,0 ~,0,,,,1,0 ~,0,,Y,0
