candidate,party,criminal_cases,education,age,myneta_url
Sigamani S,IND,0,5th Pass,50,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3835
Sureshkumar.T,Naam Tamilar Katchi,0,Others,47,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=652
Thangaraj V.,IND,0,8th Pass,47,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3837
Venkatesan Balaji B.,IND,0,Graduate Professional,55,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3840
Venkatesan.C,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,0,10th Pass,44,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3829
Arjunan M,BSP,0,8th Pass,45,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1661
Durai B,Ganasangam Party of India,4,10th Pass,36,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1663
Manikandan K,IND,0,Graduate Professional,29,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1658
Murali C,IND,0,Graduate,38,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1659
Murali S,Pattali Makkal Katchi,0,Graduate,31,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1665
Muthuperumal K,IND,0,Post Graduate,28,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1666
Prabavathi G,Naam Tamilar Katchi,0,Others,36,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4251
Suresh S,Makkal Needhi Maiam,0,Graduate Professional,45,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1660
Vignesh S,IND,0,12th Pass,25,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4252
Duraimurugan,DMK,8,Post Graduate,83,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=486
Arumugam K P,RPI(A),0,Others,45,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1245
D Ramu,IND,0,5th Pass,49,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3956
J Anandhi,IND,0,12th Pass,34,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3952
K Raja,BSP,0,10th Pass,59,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1243
K Ramu,IND,0,Others,43,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3955
M Sudharsan,Indiya Jananayaka Katchi,0,Graduate,30,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3950
P Dhananjayan,IND,0,10th Pass,45,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1248
R S Sridhar,Anna MGR Dravida Makkal Kalgam,0,Illiterate,59,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3951
Raman,IND,0,10th Pass,53,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3954
S Thirukkumaran,Naam Tamilar Katchi,0,Post Graduate,43,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=488
V Ramu,AIADMK,1,Graduate Professional,48,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=487
V Vinayagam,IND,0,Graduate Professional,34,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1244
Karthikeyan .P,DMK,4,5th Pass,59,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=752
Appu S.R.K,AIADMK,0,Graduate,43,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=131
Dharmalingam .V.D,Amma Makkal Munnettra Kazagam,0,Illiterate,72,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3959
Karthick .E,IND,0,5th Pass,39,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3963
Manogaran S,Kamarajar Deseeya Congress,0,5th Pass,60,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=76
Naresh Kumar .R,Tamil Nadu Ilangyar Katchi,0,Others,29,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3960
Naseer K,IND,0,10th Pass,42,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=25
Panneer Sevlan .N,IND,0,Post Graduate,57,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3967
Sathishkumar .S,IND,0,5th Pass,33,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3965
Senthilkumar,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,0,5th Pass,31,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3957
Srinivasan .N,IND,0,Post Graduate,45,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3966
Syed Jalaluddin .M,Tipu Sultan Party,0,12th Pass,38,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3958
Vijayaraj .K,IND,0,12th Pass,45,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3968
Vikram Chakravarthy .G,Makkal Needhi Maiam,0,12th Pass,43,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3962
Vishnumohan .E,IND,0,Graduate,45,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3969
A.P.Nandakumar,DMK,10,12th Pass,52,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=246
A.Sumithra,Naam Tamilar Katchi,0,8th Pass,34,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3971
D.Velazhagan,AIADMK,0,10th Pass,51,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=245
K.Naveenkumar,IND,0,10th Pass,32,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3975
K.Rajasekar,Indiya Jananayaka Katchi,0,12th Pass,29,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=782
M Rajbabu,IND,0,12th Pass,36,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=63
M.Arun,IND,0,10th Pass,32,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3972
M.Senthil Kumar,IND,0,Graduate,43,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3974
P Venkatesan,IND,0,8th Pass,46,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3977
R Karunamoorthy,IND,0,8th Pass,40,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=783
T.Mathan Kumar,IND,0,10th Pass,30,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3976
V.D.Sathish Kumar,Amma Makkal Munnettra Kazagam,1,12th Pass,30,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3970
M.Jagan Moorthy,AIADMK,2,12th Pass,54,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1279
Dhanaseelan,DMDK,0,Graduate Professional,56,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3978
E.P.Elanchezhiyan,IND,0,12th Pass,26,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3981
J.Divya Rani,Naam Tamilar Katchi,0,8th Pass,33,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=497
K Elavarasan,RPI(A),0,10th Pass,52,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1277
K Sathu,National Democratic Party of South India,0,10th Pass,41,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3979
K Seetharaman,DMK,0,10th Pass,63,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=99
K Venkatasamy,Indiya Jananayaka Katchi,0,Graduate,45,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3980
S Selva Chenguttuvan,IND,0,Graduate Professional,37,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3982
Amalu.V,DMK,0,8th Pass,39,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1852
Elumalai.M,IND,0,Graduate,33,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3984
Gunaseelan.P,Samuga Samatuva Padai,0,10th Pass,40,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3985
Jaikarthikeyan.K,Makkal Desiya Katchi,0,10th Pass,42,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3990
Jayanthi Padmanaban.C,Amma Makkal Munnettra Kazagam,0,Graduate Professional,40,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3983
Kalaiyenthiri.R,Naam Tamilar Katchi,0,Graduate Professional,31,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=418
Lakshmipathy.N,IND,0,Graduate Professional,44,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3989
Manojkumar.G,IND,0,8th Pass,48,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3987
Priya.M,IND,0,10th Pass,30,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3986
Radha,IND,0,Literate,45,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3988
Raja.S,BSP,0,12th Pass,46,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1082
Rajan.C,Indiya Jananayaka Katchi,0,12th Pass,50,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1080
Selvavinayagam.D,All Pensioner’s Party,0,10th Pass,68,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1083
Vennila.R,Republican Party of India (Athawale),0,12th Pass,50,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1081
Masthan K S,DMK,29,8th Pass,65,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=413
Gopi S,IND,0,12th Pass,41,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3993
Gowtham Sagar A,Amma Makkal Munnettra Kazagam,4,Post Graduate,50,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1056
Jagajanandam R,BSP,0,Others,51,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1060
Kirubakaran T,IND,0,8th Pass,32,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3992
Mariyappan S,IND,0,Illiterate,62,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3995
Rajendiran P,Pattali Makkal Katchi,2,12th Pass,65,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=412
Saheera,IND,0,Graduate,54,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1057
Sripathi P,Makkal Needhi Maiam,0,Post Graduate,35,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1058
Sugumar Ap,Naam Tamilar Katchi,0,Graduate,35,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3991
Sivakumar C,Pattali Makkal Katchi,0,8th Pass,47,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=537
Chandra Prakash R,IND,0,12th Pass,26,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1511
Dr. Masilamani R,DMK,8,Graduate Professional,70,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1512
Durai M,BSP,0,Others,37,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1518
Kannan G,IND,0,8th Pass,49,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3997
Manavalan A,Anna MGR Dravida Makkal Kalgam,0,12th Pass,34,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1520
Masilamani V S/O Veeraragavan,IND,0,Illiterate,58,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3998
Masilamani V S/O Vengadachalam,IND,0,Illiterate,56,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3999
Rajasekar M,IND,0,Post Graduate,26,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1513
Sekar Nayakkar I M,IND,0,Graduate,59,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1510
Sridhar D,IND,0,12th Pass,30,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1516
Sundaresan A,DMDK,0,Graduate,40,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1514
Umamaheswari L,Naam Tamilar Katchi,0,Graduate,27,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1519
Arjunan P,AIADMK,0,10th Pass,51,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=692
Arulmaran J,IND,0,Post Graduate,46,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4006
Chandralekha K,DMDK,0,Post Graduate,39,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4000
Gokulakrishnan M,IND,0,10th Pass,29,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4008
Govindasamy A,BSP,0,Graduate,51,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2061
Ilavarasan K,Anna Dravidar Kazhagam,0,8th Pass,32,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4001
Mohan A,MAKKAL SAKTHI KATCHI,0,12th Pass,39,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4005
Pachimuthu P,Naam Tamilar Katchi,1,Graduate Professional,29,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4003
Seethapathy P,DMK,5,Post Graduate,70,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=693
Settu M,Desiya Sirupanmayinar Makkal Iyakkam,0,5th Pass,56,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4002
Thambiraj A,IND,0,Others,36,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4007
Vetrivendhan S,IND,0,12th Pass,27,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4010
Vinoth S,IND,0,8th Pass,26,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4009
Viswanathan S A,All India Pattali Munnetra Katchi,0,5th Pass,44,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=691
Chakrapani M,AIADMK,0,Graduate,67,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=137
Ganapathi P M,DMDK,1,5th Pass,61,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1642
Latchoumy M,Naam Tamilar Katchi,0,12th Pass,39,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1641
Sakthivel S,IND,0,12th Pass,38,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1640
Sandoshkumar M,Makkal Needhi Maiam,0,12th Pass,43,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1639
Vanni Arasu,Viduthalai Chiruthaigal Katchi,5,12th Pass,50,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1638
Vinayagamurthy M,BSP,0,12th Pass,34,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1643
Varalakshmi.M,DMK,0,Others,47,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=893
Dillibabu.S,Tipu Sultan Party,0,Graduate,46,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=894
Eraniappan.S,CPI(ML)(L),0,12th Pass,60,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=273
Gajendran.M,AIADMK,0,Graduate,42,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=272
Gopalakrishnan.N,IND,0,Graduate,49,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=891
Muthamilselvan.S,Indiya Jananayaka Katchi,0,Graduate,47,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=896
Rajagopal.G,IND,0,Post Graduate,35,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=897
Sanjeevinathan.K,Naam Tamilar Katchi,1,8th Pass,40,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=274
Sathishkumar.A,Amma Makkal Munnettra Kazagam,0,Graduate Professional,34,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=898
Vasumathi.G,Anaithu Makkal Arasiyal Katchi,0,10th Pass,37,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3841
Veeradoss.E,IND,0,12th Pass,44,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3843
Lakshmanan R,DMK,2,Graduate Professional,49,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=315
Balasundaram R,Amma Makkal Munnettra Kazagam,0,Graduate,48,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4014
Balu K,IND,0,5th Pass,53,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=755
Dakshinamoorthy Su Va,IND,0,12th Pass,33,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4025
Dass K,Makkal Needhi Maiam,0,12th Pass,43,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4011
Devanathan N,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,0,Graduate,40,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4013
Duraisamy D,Makkal Munnetra Peravai,0,Post Graduate,49,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4012
Iyyanar G,IND,0,5th Pass,55,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4017
Jaiaadhe R,IND,0,12th Pass,46,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4028
Kumar R,IND,0,5th Pass,30,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4019
Kuppan V,IND,0,12th Pass,30,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4018
Mohamed Ibraim A,Anna Dravidar Kazhagam,0,8th Pass,29,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4015
Narendiran D,IND,0,Graduate,31,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4026
Prabakaran M,IND,0,12th Pass,29,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4027
Raman K,IND,0,5th Pass,32,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=756
Selvam J,Naam Tamilar Katchi,1,10th Pass,51,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=317
Shanmugam C Ve,AIADMK,0,Graduate Professional,56,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=319
Shanmugam G,IND,0,5th Pass,74,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4022
Shanmugam V,IND,0,12th Pass,50,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4023
Sivabalan N,BSP,0,10th Pass,60,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2108
Subramanian R,IND,0,Others,43,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4024
Victor A S,Desiya Sirupanmayinar Makkal Iyakkam,0,10th Pass,46,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4016
Pugazhenthi N,DMK,4,8th Pass,66,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=327
Arumugam C,BSP,0,Literate,60,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=326
Ayyanar A,IND,0,10th Pass,28,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4034
Elangovan S,Akhil Bharat Hindu Mahasabha,0,8th Pass,52,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4029
Gayathri J,IND,0,Post Graduate,32,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=330
Iyyanar R,Amma Makkal Munnettra Kazagam,2,10th Pass,42,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4030
Iyyappan K,IND,0,8th Pass,30,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4033
Kannadhasan A,IND,0,10th Pass,38,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4035
Muthamilselvan R,AIADMK,0,10th Pass,56,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=328
Raghupathy P,IND,0,Graduate Professional,24,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4038
Rajivgandhi P,Naadaalum Makkal Katchi,0,Graduate,33,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4032
Sathish R,IND,0,Graduate Professional,34,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4037
Senthil R,Indiya Jananayaka Katchi,0,Others,42,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4031
Sheeba Ashmi R,Naam Tamilar Katchi,0,Graduate,39,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=331
K.Ponmudy,DMK,13,Doctorate,70,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=705
Jayavindan G,IND,0,Graduate Professional,28,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4047
Kathiravan K,IND,0,12th Pass,32,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4042
L.Venkatesan,DMDK,6,Graduate,53,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2066
Magesh M,IND,0,10th Pass,34,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4044
Mathivanan S,IND,0,12th Pass,28,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4045
Murugan S,Naam Tamilar Katchi,0,Others,36,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=704
Prakash A,IND,0,Post Graduate,36,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4043
Sankar S,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,0,8th Pass,37,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4039
Senthilkumar M,Indiya Jananayaka Katchi,0,10th Pass,42,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4040
Siva.Panjavarnam,BSP,0,Graduate Professional,40,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2064
Vat.Kalivaradhan,BJP,1,10th Pass,56,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2065
Vignesh M,IND,0,Graduate Professional,26,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4046
Dharmalingam K.,RPI(A),0,Graduate Professional,50,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1636
Kalimuthu K.,Amma Makkal Munnettra Kazagam,3,5th Pass,59,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1635
Manikumar M.,IND,0,Literate,36,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3866
Rajenthrabhalaji K.T,AIADMK,0,10th Pass,57,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=604
Selvaraj G.,IND,0,12th Pass,52,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3863
Thangapandi B.,IND,0,8th Pass,25,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3864
Thangapandi S.,IND,0,10th Pass,60,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3865
Vijayakumar E.,IND,0,10th Pass,64,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3867
"Manraj, E.M.",AIADMK,0,Graduate,43,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=166
"Abinaya, B.",Naam Tamilar Katchi,0,Post Graduate,27,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=55
"Guruvaiya, G.",IND,0,Illiterate,63,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3875
"Guruvaiya, K.",Makkal Needhi Maiam,0,Graduate Professional,63,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3869
"Irulandi, Dr. V.",Tamil Nadu Ilangyar Katchi,0,Doctorate,66,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3868
"Kannan, A.",IND,4,5th Pass,33,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3874
"Madhavarao, P.S.W.",INC,0,Post Graduate,63,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2031
"Mahalakshmi, M.",IND,0,12th Pass,37,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3878
"Pandiyaraj, K.",Anaithu Makkal Puratchi Katchi,0,Not Given,30,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3872
"Prabhakaran, P.",IND,0,Post Graduate,30,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3877
"Sangeethapriya, S.",Amma Makkal Munnettra Kazagam,0,10th Pass,33,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3870
"Shanthi, S.",Puthiya Tamilagam,0,Graduate Professional,35,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3871
"Thamaraiselvam, K.",IND,0,10th Pass,34,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3876
"Veerapandi, K.",My India Party,0,Post Graduate,28,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3873
"Raghuraman, A.R.R",DMK,0,Graduate Professional,49,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2013
"Angusamy, S.",Anaithu Makkal Puratchi Katchi,0,Illiterate,55,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3880
"Anthonyraj, A.",IND,0,Graduate,53,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3888
"Bala Subramanian, R.",IND,0,Illiterate,49,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3896
"Balamurugan, K.",IND,0,Illiterate,34,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3897
"Bharathi, M.",Indiya Jananayaka Katchi,0,Post Graduate,30,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3884
"Chellapandian, P.",IND,0,Graduate,53,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3894
"Dhamodharan, S.",IND,0,10th Pass,62,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3895
"Gurusamy, P.",IND,0,5th Pass,37,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3890
"Maheskumar, M",IND,0,Graduate,32,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3899
"Manoharan, V.",IND,0,12th Pass,44,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3900
"Mariappan, M.",IND,0,5th Pass,44,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3901
"Marikannan, G.",Puthiya Tamilagam,1,10th Pass,38,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3885
"Palanichamy, P.",Bahujan Dravida Party,0,Post Graduate,34,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3882
"Pandi, K.",Naam Tamilar Katchi,2,8th Pass,45,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3883
"Prabakaran, J.",IND,0,Graduate Professional,34,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3898
"Rajavarman, M.S.R",Amma Makkal Munnettra Kazagam,0,8th Pass,48,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=174
"Rajkumar, R.",My India Party,0,Literate,42,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3886
"Ramesh, A.",IND,0,10th Pass,34,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3903
"Ravichandhran, R.K",AIADMK,1,Graduate,60,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=173
"Saravanakumar, M.",IND,0,8th Pass,43,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3891
"Senthur Pandian, R.",IND,0,12th Pass,47,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3893
"Subburaman, P.",All India MGR Makkal Munnetra Kazhagam,0,12th Pass,59,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3881
"Subramanian, S.",IND,0,12th Pass,45,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3892
Ashokan.G,INC,3,Graduate,62,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1941
Ganesan.R,IND,0,10th Pass,46,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1954
Ananthalakshmi,BSP,0,12th Pass,39,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1942
