candidate,party,criminal_cases,education,age,myneta_url
S.Pavunraj,AIADMK,0,10th Pass,64,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=193
S.Senthamizhan,Amma Makkal Munnettra Kazagam,2,12th Pass,41,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2559
T.Ilanchezhian,BSP,1,Graduate,45,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1986
J. Mohamed Shanavas,Viduthalai Chiruthaigal Katchi,1,12th Pass,39,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1894
C.Manjula,Amma Makkal Munnettra Kazagam,0,10th Pass,48,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1895
J.V. Durai,Makkalatchi Katchi,0,Others,43,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1898
Mayilarasi,Naadaalum Makkal Katchi,0,12th Pass,36,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1899
S. Prem,IND,0,8th Pass,39,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2566
S.Augustine Arputharaj,Naam Tamilar Katchi,0,Others,40,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=556
Syed Anas Mohideen Sahip,Makkal Needhi Maiam,0,Graduate Professional,29,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1896
T. Singaravadivelan,SHS,0,Others,41,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1897
V. Canagaradjou,IND,0,12th Pass,45,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2564
V. Manikandan,IND,0,Post Graduate,29,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2567
Nagaimaali V P,CPI(M),0,Graduate Professional,65,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1282
Kalaiselvan G,IND,0,8th Pass,43,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1284
Maruthaiyan G,IND,0,5th Pass,73,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2571
Muthalagan S,Puthiya Tamilagam,0,Others,63,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1283
Neethimohan M,Amma Makkal Munnettra Kazagam,0,Post Graduate,66,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2569
Ponelavazhaki S,Naam Tamilar Katchi,0,Post Graduate,34,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=498
Sidhu G,Makkal Needhi Maiam,0,Graduate Professional,33,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1281
Tamilarasan U,BSP,0,12th Pass,44,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2568
Vedha Mukundhan,IND,0,Post Graduate,46,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1857
O.S.Manian,AIADMK,0,Others,66,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=136
K.Rajendran,Naam Tamilar Katchi,1,Others,46,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=339
Mohamed Ali,Makkal Needhi Maiam,0,Post Graduate,44,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2582
P.S.Arumugam,Amma Makkal Munnettra Kazagam,1,10th Pass,55,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2581
P.V.Theenathayalan,IND,0,Others,44,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2586
R.Kathirvel,IND,2,5th Pass,45,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2585
R.Panneerselvam,BSP,0,5th Pass,58,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2095
R.Ramamurthy,IND,0,Graduate,66,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2583
T.Ramajayam,IND,0,Others,37,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2584
T.Sundaravadivelan,SHS,0,12th Pass,44,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2096
