candidate,party,criminal_cases,education,age,total_assets,liabilities,2021_constituency,2021_district,myneta_url,total_assets_rs,liabilities_rs,sitting_MLA,bye_election
Jayanthi M,Makkal Needhi Maiam,0,Graduate,47,,,TIRUCHENDUR,THOOTHUKUDI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1587,,,0,0
Kalyanasundaram R,IND,0,Graduate,34,"Rs 3,26,000 ~ 3 Lacs+","Rs 7,00,000 ~ 7 Lacs+",TIRUCHENDUR,THOOTHUKUDI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1598,326000,700000,0,0
Kennady Babu K,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,0,10th Pass,35,"Rs 4,20,000 ~ 4 Lacs+","Rs 2,42,000 ~ 2 Lacs+",TIRUCHENDUR,THOOTHUKUDI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1586,420000,242000,0,0
Perumal K,IND,0,Literate,60,,,TIRUCHENDUR,THOOTHUKUDI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1585,,,0,0
Pon Rathna Selvan S,IND,0,Graduate,46,"Rs 2,45,000 ~ 2 Lacs+",Rs 0 ~,TIRUCHENDUR,THOOTHUKUDI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1596,245000,0,0,0
Radhakrishnan M,AIADMK,4,Graduate,39,"Rs 4,17,12,009 ~ 4 Crore+",Rs 0 ~,TIRUCHENDUR,THOOTHUKUDI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1602,41712009,0,0,0
Rooswelt X,Naam Indiar Party,0,Graduate Professional,48,,,TIRUCHENDUR,THOOTHUKUDI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1600,,,0,0
Senthilkumar S,IND,0,Graduate,33,"Rs 11,000 ~ 11 Thou+",Rs 0 ~,TIRUCHENDUR,THOOTHUKUDI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1597,11000,0,0,0
Shaik Abdul Kader P.S.J,IND,0,Graduate,50,"Rs 2,90,000 ~ 2 Lacs+",Rs 0 ~,TIRUCHENDUR,THOOTHUKUDI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1591,290000,0,0,0
Vadamalaipandian S,Amma Makkal Munnettra Kazagam,0,5th Pass,66,,,TIRUCHENDUR,THOOTHUKUDI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1601,,,0,0
Amirtharaj .S,INC,0,Post Graduate,37,"Rs 69,25,72,391 ~ 69 Crore+","Rs 3,97,52,000 ~ 3 Crore+",SRIVAIKUNTAM,THOOTHUKUDI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2030,692572391,39752000,1,0
Allwin Duraisingh P,IND,0,Graduate Professional,37,"Rs 11,58,054 ~ 11 Lacs+",Rs 0 ~,SRIVAIKUNTAM,THOOTHUKUDI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4161,1158054,0,0,0
Arulmathi Yesuvadiyal,Aanaithinthiya Jananayaka Pathukappu Kazhagam,1,Post Graduate,50,,,SRIVAIKUNTAM,THOOTHUKUDI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4155,,,0,0
Arun B,Puthiya Tamilagam,0,Post Graduate,30,"Rs 35,00,000 ~ 35 Lacs+","Rs 14,40,000 ~ 14 Lacs+",SRIVAIKUNTAM,THOOTHUKUDI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4154,3500000,1440000,0,0
Durai Singh J,IND,1,5th Pass,32,"Rs 4,20,291 ~ 4 Lacs+","Rs 82,000 ~ 82 Thou+",SRIVAIKUNTAM,THOOTHUKUDI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4168,420291,82000,0,0
Eral S. Ramesh,Amma Makkal Munnettra Kazagam,1,Graduate,52,,,SRIVAIKUNTAM,THOOTHUKUDI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4156,,,0,0
Esakki Raja K,IND,5,8th Pass,34,"Rs 2,33,517 ~ 2 Lacs+",Rs 0 ~,SRIVAIKUNTAM,THOOTHUKUDI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4162,233517,0,0,0
Jegan,Anna Dravidar Kazhagam,0,Graduate,45,"Rs 10,87,000 ~ 10 Lacs+","Rs 1,05,000 ~ 1 Lacs+",SRIVAIKUNTAM,THOOTHUKUDI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4160,1087000,105000,0,0
Joseph Leon,IND,0,12th Pass,66,,,SRIVAIKUNTAM,THOOTHUKUDI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=651,,,0,0
Kirushnavel R,IND,0,Others,34,"Rs 4,27,500 ~ 4 Lacs+",Rs 0 ~,SRIVAIKUNTAM,THOOTHUKUDI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4163,427500,0,0,0
Malaiandi R,IND,1,8th Pass,25,"Rs 1,51,000 ~ 1 Lacs+",Rs 0 ~,SRIVAIKUNTAM,THOOTHUKUDI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4170,151000,0,0,0
P.Subbiah Pandian,Naam Tamilar Katchi,1,10th Pass,44,,,SRIVAIKUNTAM,THOOTHUKUDI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4158,,,0,0
R.Chandra Sekar,Makkal Needhi Maiam,0,10th Pass,48,"Rs 1,57,40,000 ~ 1 Crore+","Rs 73,25,000 ~ 73 Lacs+",SRIVAIKUNTAM,THOOTHUKUDI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4157,15740000,7325000,0,0
S.P.Shunmuganathan,AIADMK,0,8th Pass,66,"Rs 1,35,37,636 ~ 1 Crore+",Rs 0 ~,SRIVAIKUNTAM,THOOTHUKUDI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=167,13537636,0,0,0
Sankara Subramanian M,IND,1,Graduate,53,,,SRIVAIKUNTAM,THOOTHUKUDI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4164,,,0,0
Saravanan G,IND,0,8th Pass,47,"Rs 2,38,100 ~ 2 Lacs+",Rs 0 ~,SRIVAIKUNTAM,THOOTHUKUDI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4165,238100,0,0,0
Sethuramalingam S,IND,2,10th Pass,47,"Rs 24,20,000 ~ 24 Lacs+","Rs 6,25,000 ~ 6 Lacs+",SRIVAIKUNTAM,THOOTHUKUDI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4167,2420000,625000,0,0
Sudalaimuthu Perumal,IND,0,8th Pass,52,,,SRIVAIKUNTAM,THOOTHUKUDI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4166,,,0,0
Suresh Perumal S,Naam Indiar Party,0,8th Pass,34,"Rs 4,40,000 ~ 4 Lacs+",Rs 0 ~,SRIVAIKUNTAM,THOOTHUKUDI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4159,440000,0,0,0
Vinston Anto S,IND,0,10th Pass,44,"Rs 2,93,500 ~ 2 Lacs+",Rs 0 ~,SRIVAIKUNTAM,THOOTHUKUDI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4171,293500,0,0,0
Shunmugaiah C,DMK,10,Graduate Professional,50,"Rs 1,42,58,275 ~ 1 Crore+","Rs 13,95,208 ~ 13 Lacs+",OTTAPIDARAM (SC),THOOTHUKUDI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1928,14258275,1395208,1,0
Arumuganainar S,DMDK,0,10th Pass,63,"Rs 2,82,34,336 ~ 2 Crore+","Rs 73,13,017 ~ 73 Lacs+",OTTAPIDARAM (SC),THOOTHUKUDI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1927,28234336,7313017,0,0
Arunadevi R,Indiya Jananayaka Katchi,0,Graduate Professional,35,"Rs 20,71,945 ~ 20 Lacs+","Rs 2,97,000 ~ 2 Lacs+",OTTAPIDARAM (SC),THOOTHUKUDI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4172,2071945,297000,0,0
Elambirai Manimaran P,IND,0,10th Pass,30,,,OTTAPIDARAM (SC),THOOTHUKUDI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4175,,,0,0
Ganeshkumar M,IND,0,Others,38,"Rs 3,45,200 ~ 3 Lacs+",Rs 0 ~,OTTAPIDARAM (SC),THOOTHUKUDI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4176,345200,0,0,0
Gunasekaran,IND,0,Illiterate,41,"Rs 64,420 ~ 64 Thou+",Rs 0 ~,OTTAPIDARAM (SC),THOOTHUKUDI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4178,64420,0,0,0
Karupparaja,IND,0,10th Pass,26,,,OTTAPIDARAM (SC),THOOTHUKUDI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4177,,,0,0
M.A.Dharmar,IND,0,Graduate,54,"Rs 25,10,500 ~ 25 Lacs+",Rs 0 ~,OTTAPIDARAM (SC),THOOTHUKUDI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4181,2510500,0,0,0
Maharajan A,Bahujan Dravida Party,0,Others,31,"Rs 5,73,000 ~ 5 Lacs+",Rs 0 ~,OTTAPIDARAM (SC),THOOTHUKUDI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=218,573000,0,0,0
Mohan P,AIADMK,0,Graduate,45,,,OTTAPIDARAM (SC),THOOTHUKUDI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=217,,,0,0
Murugan P,Naam Indiar Party,0,8th Pass,41,"Rs 9,80,000 ~ 9 Lacs+",Rs 0 ~,OTTAPIDARAM (SC),THOOTHUKUDI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=219,980000,0,0,0
Raj V,IND,0,Graduate,35,"Rs 7,27,908 ~ 7 Lacs+",Rs 0 ~,OTTAPIDARAM (SC),THOOTHUKUDI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4182,727908,0,0,0
Samuthiram P,IND,0,10th Pass,37,,,OTTAPIDARAM (SC),THOOTHUKUDI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4180,,,0,0
Sasi Murugan C,IND,0,10th Pass,27,"Rs 2,19,000 ~ 2 Lacs+",Rs 0 ~,OTTAPIDARAM (SC),THOOTHUKUDI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4179,219000,0,0,0
Vaikundamari M,Naam Tamilar Katchi,0,12th Pass,39,,,OTTAPIDARAM (SC),THOOTHUKUDI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4174,,,0,0
Velmurugan,IND,0,10th Pass,33,"Rs 87,860 ~ 87 Thou+",Rs 0 ~,OTTAPIDARAM (SC),THOOTHUKUDI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4183,87860,0,0,0
Arunraj Balan,IND,0,12th Pass,31,"Rs 3,63,329 ~ 3 Lacs+",Rs 0 ~,MYLAPORE,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2292,363329,0,0,0
Balaji,BSP,0,12th Pass,40,"Rs 7,85,000 ~ 7 Lacs+",Rs 0 ~,MYLAPORE,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=237,785000,0,0,0
Kajendran.M,IND,0,Illiterate,39,,,MYLAPORE,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2293,,,0,0
Karthick.D,Amma Makkal Munnettra Kazagam,0,Others,29,"Rs 1,28,67,763 ~ 1 Crore+","Rs 2,80,000 ~ 2 Lacs+",MYLAPORE,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1891,12867763,280000,0,0
Mahalakshmi.K,Naam Tamilar Katchi,0,Post Graduate,39,"Rs 2,14,76,544 ~ 2 Crore+",Rs 0 ~,MYLAPORE,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1892,21476544,0,0,0
Malar Kannan.R,IND,0,Illiterate,42,,,MYLAPORE,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2301,,,0,0
Mohanraj.J,IND,0,Graduate,69,"Rs 2,000 ~ 2 Thou+",Rs 0 ~,MYLAPORE,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=555,2000,0,0,0
Nallappan.G,IND,0,Post Graduate,62,"Rs 3,45,85,000 ~ 3 Crore+","Rs 5,00,000 ~ 5 Lacs+",MYLAPORE,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2299,34585000,500000,0,0
Nandagopal.G,IND,0,Post Graduate,50,,,MYLAPORE,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2298,,,0,0
Nataraj.R,AIADMK,0,Doctorate,70,"Rs 10,67,89,100 ~ 10 Crore+","Rs 79,50,000 ~ 79 Lacs+",MYLAPORE,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1890,106789100,7950000,0,0
Pasupathi Pragalathan,IND,0,10th Pass,37,"Rs 39,441 ~ 39 Thou+",Rs 0 ~,MYLAPORE,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2300,39441,0,0,0
Radha M (Transgender),IND,0,12th Pass,53,,,MYLAPORE,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2303,,,0,0
Rangarajan.R,IND,0,Graduate,35,"Rs 1,50,000 ~ 1 Lacs+",Rs 0 ~,MYLAPORE,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2302,150000,0,0,0
Selvakumar,IND,0,5th Pass,48,"Rs 1,68,00,000 ~ 1 Crore+","Rs 28,00,000 ~ 28 Lacs+",MYLAPORE,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2296,16800000,2800000,0,0
Senthil Kumar.D,Anaithu Makkal Arasiyal Katchi,0,Graduate Professional,47,,,MYLAPORE,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1889,,,0,0
Shanmugarajan B,IND,0,Post Graduate,69,"Rs 2,92,18,700 ~ 2 Crore+","Rs 15,46,000 ~ 15 Lacs+",MYLAPORE,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2295,29218700,1546000,0,0
Sripriya,Makkal Needhi Maiam,0,8th Pass,63,"Rs 1,76,70,77,932 ~ 176 Crore+","Rs 41,70,68,008 ~ 41 Crore+",MYLAPORE,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2291,1767077932,417068008,0,0
V. Vijaya Krishna,IND,0,Post Graduate,42,,,MYLAPORE,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=236,,,0,0
Varatharajan.V.S,IND,0,12th Pass,48,"Rs 1,09,99,000 ~ 1 Crore+",Rs 0 ~,MYLAPORE,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2304,10999000,0,0,0
Venkatesh,IND,0,5th Pass,31,"Rs 44,200 ~ 44 Thou+",Rs 0 ~,MYLAPORE,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2305,44200,0,0,0
Kadambur Raju,AIADMK,2,12th Pass,61,,,KOVILPATTI,THOOTHUKUDI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=507,,,1,0
A.Kaliraj,IND,0,Post Graduate,40,"Rs 3,26,378 ~ 3 Lacs+",Rs 0 ~,KOVILPATTI,THOOTHUKUDI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1325,326378,0,0,0
A.Patturani,IND,0,Post Graduate,29,"Rs 40,439 ~ 40 Thou+","Rs 10,62,234 ~ 10 Lacs+",KOVILPATTI,THOOTHUKUDI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4190,40439,1062234,0,0
Athikaran Alias Athikumar,IND,0,10th Pass,46,,,KOVILPATTI,THOOTHUKUDI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4185,,,0,0
J.Ravisankar Jayachanthiran,IND,0,12th Pass,48,"Rs 11,99,952 ~ 11 Lacs+",Rs 0 ~,KOVILPATTI,THOOTHUKUDI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1317,1199952,0,0,0
K.Kathiravan,Makkal Needhi Maiam,0,Post Graduate,42,"Rs 1,35,94,679 ~ 1 Crore+","Rs 11,72,352 ~ 11 Lacs+",KOVILPATTI,THOOTHUKUDI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1326,13594679,1172352,0,0
K.Pandimuneeswari,IND,0,12th Pass,33,,,KOVILPATTI,THOOTHUKUDI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4191,,,0,0
K.Shanmugasundaram,Bahujan Dravida Party,0,Post Graduate,34,"Rs 2,05,000 ~ 2 Lacs+",Rs 0 ~,KOVILPATTI,THOOTHUKUDI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1324,205000,0,0,0
K.Srinivasan,CPI(M),2,10th Pass,57,"Rs 59,15,501 ~ 59 Lacs+",Rs 0 ~,KOVILPATTI,THOOTHUKUDI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1323,5915501,0,0,0
Kannan,IND,0,8th Pass,64,"Rs 40,91,000 ~ 40 Lacs+",Rs 0 ~,KOVILPATTI,THOOTHUKUDI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4187,4091000,0,0,0
M.G.R.Nambbi,All India MGR Makkal Munnetra Kazhagam,2,Post Graduate,65,"Rs 11,92,141 ~ 11 Lacs+",Rs 0 ~,KOVILPATTI,THOOTHUKUDI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1318,1192141,0,0,0
M.Gomathi,Naam Tamilar Katchi,0,12th Pass,56,,,KOVILPATTI,THOOTHUKUDI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1327,,,0,0
M.Ponnusamy,IND,0,10th Pass,53,"Rs 13,49,500 ~ 13 Lacs+",Rs 0 ~,KOVILPATTI,THOOTHUKUDI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1321,1349500,0,0,0
Manthirasudamani,IND,0,Post Graduate,56,"Rs 1,34,97,001 ~ 1 Crore+","Rs 4,30,404 ~ 4 Lacs+",KOVILPATTI,THOOTHUKUDI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4192,13497001,430404,0,0
P.Gunasekaran,IND,0,Illiterate,60,,,KOVILPATTI,THOOTHUKUDI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1322,,,0,0
P.Ramasamy,IND,0,5th Pass,65,"Rs 13,000 ~ 13 Thou+",Rs 0 ~,KOVILPATTI,THOOTHUKUDI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4186,13000,0,0,0
Raja,IND,1,Graduate,48,"Rs 55,44,634 ~ 55 Lacs+",Rs 0 ~,KOVILPATTI,THOOTHUKUDI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4195,5544634,0,0,0
Rajkumar Poliah,Universal Brotherhood Movement,0,Graduate,37,,,KOVILPATTI,THOOTHUKUDI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=21,,,0,0
Ramachandiran.R,BSP,0,5th Pass,64,"Rs 28,97,500 ~ 28 Lacs+","Rs 3,50,000 ~ 3 Lacs+",KOVILPATTI,THOOTHUKUDI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4184,2897500,350000,0,0
Rameshkannan,IND,5,10th Pass,26,"Rs 90,500 ~ 90 Thou+",Rs 0 ~,KOVILPATTI,THOOTHUKUDI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4194,90500,0,0,0
Renganayagalu,IND,2,Graduate Professional,42,,,KOVILPATTI,THOOTHUKUDI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4196,,,0,0
S.Udaiyar,Naam Indiar Party,0,10th Pass,29,"Rs 10,40,000 ~ 10 Lacs+","Rs 15,000 ~ 15 Thou+",KOVILPATTI,THOOTHUKUDI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=505,1040000,15000,0,0
Sivasubramanian,IND,0,Graduate Professional,43,"Rs 2,56,96,377 ~ 2 Crore+","Rs 94,00,000 ~ 94 Lacs+",KOVILPATTI,THOOTHUKUDI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4188,25696377,9400000,0,0
Subash,IND,0,5th Pass,68,,,KOVILPATTI,THOOTHUKUDI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=4189,,,0,0
Ttv Dhinakaran,Amma Makkal Munnettra Kazagam,6,12th Pass,57,"Rs 12,26,92,317 ~ 12 Crore+","Rs 6,37,10,024 ~ 6 Crore+",KOVILPATTI,THOOTHUKUDI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=506,122692317,63710024,0,0
Abdul Samad P,DMK,1,10th Pass,52,"Rs 10,64,400 ~ 10 Lacs+",Rs 0 ~,MANAPPARAI,TIRUCHIRAPPALLI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1861,1064400,0,1,0
Arputhasamy V,IND,0,Others,40,"Rs 34,45,000 ~ 34 Lacs+",Rs 0 ~,MANAPPARAI,TIRUCHIRAPPALLI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1550,3445000,0,0,0
Chandrasekar V,IND,0,10th Pass,42,,,MANAPPARAI,TIRUCHIRAPPALLI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3536,,,0,0
Chandrasekar.R,AIADMK,0,10th Pass,54,"Rs 3,61,59,383 ~ 3 Crore+","Rs 45,13,893 ~ 45 Lacs+",MANAPPARAI,TIRUCHIRAPPALLI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=113,36159383,4513893,0,0
Chinnan P,IND,0,5th Pass,46,"Rs 28,90,200 ~ 28 Lacs+",Rs 0 ~,MANAPPARAI,TIRUCHIRAPPALLI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1545,2890200,0,0,0
Chithaiyan T,IND,0,12th Pass,37,,,MANAPPARAI,TIRUCHIRAPPALLI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3537,,,0,0
David P,IND,0,5th Pass,38,"Rs 1,84,000 ~ 1 Lacs+",Rs 0 ~,MANAPPARAI,TIRUCHIRAPPALLI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3538,184000,0,0,0
Elayaraja C,IND,4,Graduate Professional,43,"Rs 1,04,53,991 ~ 1 Crore+",Rs 0 ~,MANAPPARAI,TIRUCHIRAPPALLI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1544,10453991,0,0,0
Ilangovan S,IND,0,8th Pass,50,,,MANAPPARAI,TIRUCHIRAPPALLI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3534,,,0,0
Jeyapandia,IND,0,8th Pass,31,"Rs 1,02,000 ~ 1 Lacs+",Rs 0 ~,MANAPPARAI,TIRUCHIRAPPALLI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3540,102000,0,0,0
Kanimozhi.P,Naam Tamilar Katchi,0,Post Graduate,31,"Rs 6,04,000 ~ 6 Lacs+","Rs 1,59,000 ~ 1 Lacs+",MANAPPARAI,TIRUCHIRAPPALLI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=114,604000,159000,0,0
Karthick Krishna P,IND,0,Post Graduate,26,,,MANAPPARAI,TIRUCHIRAPPALLI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1547,,,0,0
Krishnagopal P,DMDK,1,Graduate Professional,51,"Rs 10,28,10,339 ~ 10 Crore+","Rs 1,96,75,746 ~ 1 Crore+",MANAPPARAI,TIRUCHIRAPPALLI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=543,102810339,19675746,0,0
Nirmal Kumar M,IND,0,Others,41,"Rs 31,17,407 ~ 31 Lacs+","Rs 9,47,693 ~ 9 Lacs+",MANAPPARAI,TIRUCHIRAPPALLI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1546,3117407,947693,0,0
Pandian V,Ezhuchi Tamilargal Munnetra Kazhagam,0,Literate,52,,,MANAPPARAI,TIRUCHIRAPPALLI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3532,,,0,0
Prasanna Kumar P,IND,0,10th Pass,38,"Rs 2,75,555 ~ 2 Lacs+",Rs 0 ~,MANAPPARAI,TIRUCHIRAPPALLI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3539,275555,0,0,0
Rasu P,IND,0,5th Pass,53,"Rs 3,30,000 ~ 3 Lacs+",Rs 0 ~,MANAPPARAI,TIRUCHIRAPPALLI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1551,330000,0,0,0
Sakthivel.M,CPI(ML)(L),1,Graduate Professional,36,,,MANAPPARAI,TIRUCHIRAPPALLI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1026,,,0,0
Sathya Priya A,IND,0,Post Graduate,34,"Rs 29,25,000 ~ 29 Lacs+","Rs 15,00,000 ~ 15 Lacs+",MANAPPARAI,TIRUCHIRAPPALLI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3535,2925000,1500000,0,0
Subramanian P,IND,0,5th Pass,53,"Rs 3,11,000 ~ 3 Lacs+",Rs 0 ~,MANAPPARAI,TIRUCHIRAPPALLI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1548,311000,0,0,0
Umarani K,Indiya Jananayaka Katchi,0,5th Pass,37,,,MANAPPARAI,TIRUCHIRAPPALLI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1549,,,0,0
Varadan.M,LJP,0,Post Graduate,67,"Rs 4,28,000 ~ 4 Lacs+","Rs 4,50,000 ~ 4 Lacs+",MANAPPARAI,TIRUCHIRAPPALLI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3533,428000,450000,0,0
Palaniyandi.M,DMK,7,8th Pass,54,,,SRIRANGAM,TIRUCHIRAPPALLI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1651,,,1,0
Annalakshmi,Desiya Makkal Sakthi Katchi,0,12th Pass,38,"Rs 61,92,690 ~ 61 Lacs+","Rs 1,67,500 ~ 1 Lacs+",SRIRANGAM,TIRUCHIRAPPALLI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1655,6192690,167500,0,0
Daniel Jude Martin,Makkal Munnetra Peravai,0,Post Graduate,41,"Rs 20,27,500 ~ 20 Lacs+","Rs 5,00,000 ~ 5 Lacs+",SRIRANGAM,TIRUCHIRAPPALLI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1649,2027500,500000,0,0
G.Selvakumar,BSP,0,5th Pass,36,,,SRIRANGAM,TIRUCHIRAPPALLI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1650,,,0,0
K.Selvarathi,Naam Tamilar Katchi,0,5th Pass,37,"Rs 22,05,685 ~ 22 Lacs+",Rs 0 ~,SRIRANGAM,TIRUCHIRAPPALLI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1656,2205685,0,0,0
Kupa Krishnan,AIADMK,0,Graduate,70,"Rs 6,46,58,670 ~ 6 Crore+","Rs 1,60,00,000 ~ 1 Crore+",SRIRANGAM,TIRUCHIRAPPALLI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=168,64658670,16000000,0,0
M.Amsavalli,IND,0,10th Pass,51,,,SRIRANGAM,TIRUCHIRAPPALLI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1654,,,0,0
